"species_code","english_name","scientific_name","family"
"PHU","Sooty albatross","Phoebetria fusca","Diomedeidae"
"PHE","Light-mantled sooty albatross","Phoebetria palpebrata","Diomedeidae"
"DAM","Amsterdam Island albatross","Diomedea amsterdamensis","Diomedeidae"
"DIP","Southern royal albatross","Diomedea epomophora","Diomedeidae"
"DIX","Wandering albatross","Diomedea exulans","Diomedeidae"
"DIW","Gibson's albatross","Diomedea gibsoni","Diomedeidae"
"DIQ","Northern royal albatross","Diomedea sanfordi","Diomedeidae"
"DQS","Antipodean albatross","Diomedea antipodensis","Diomedeidae"
"DBN","Tristan albatross","Diomedea dabbenena","Diomedeidae"
"DIZ","Laysan albatross","Phoebastria immutabilis","Diomedeidae"
"DKN","Black-footed albatross","Phoebastria nigripes","Diomedeidae"
"DPK","Waved albatross","Phoebastria irrorata","Diomedeidae"
"DAQ","Short-tailed albatross","Phoebastria albatrus","Diomedeidae"
"TQH","Indian yellow-nosed albatross","Thalassarche carteri","Diomedeidae"
"TQW","Campbell albatross","Thalassarche impavida","Diomedeidae"
"DIM","Black-browed albatross","Thalassarche melanophrys","Diomedeidae"
"DIB","Buller's albatross","Thalassarche bulleri","Diomedeidae"
"DCU","Shy albatross","Thalassarche cauta","Diomedeidae"
"DCR","Atlant. yellow-nosed albatross","Thalassarche chlororhynchos","Diomedeidae"
"DIC","Grey-headed albatross","Thalassarche chrysostoma","Diomedeidae"
"DER","Chatham Islands albatross","Thalassarche eremita","Diomedeidae"
"DKS","Salvin's albatross","Thalassarche salvini","Diomedeidae"
"TWD","White-capped albatross","Thalassarche steadi","Diomedeidae"
"ALZ","Albatrosses nei","Diomedeidae","Diomedeidae"
"PFC","Flesh-footed shearwater","Puffinus carneipes","Procellariidae"
"PUC","Pink-footed shearwater","Puffinus creatopus","Procellariidae"
"PUG","Great shearwater","Puffinus gravis","Procellariidae"
"PFG","Sooty shearwater","Puffinus griseus","Procellariidae"
"PFT","Short-tailed shearwater","Puffinus tenuirostris","Procellariidae"
"PFJ","Fluttering shearwater","Puffinus gavia","Procellariidae"
"PFQ","Huttons shearwater","Puffinus huttoni","Procellariidae"
"PFZ","Wedge-tailed shearwater","Puffinus pacificus","Procellariidae"
"UIL","Audubon's shearwater","Puffinus lherminieri","Procellariidae"
"UIM","Balearic shearwater","Puffinus mauretanicus","Procellariidae"
"UIP","Manx shearwater","Puffinus puffinus","Procellariidae"
"UYE","Yelkouan shearwater","Puffinus yelkouan","Procellariidae"
"PQW","Shearwaters nei","Puffinus spp","Procellariidae"
"PRO","White-chinned petrel","Procellaria aequinoctialis","Procellariidae"
"PCI","Grey petrel","Procellaria cinerea","Procellariidae"
"PRK","Parkinson's petrel","Procellaria parkinsoni","Procellariidae"
"PCW","Westland petrel","Procellaria westlandica","Procellariidae"
"PCN","Spectacled petrel","Procellaria conspicillata","Procellariidae"
"PTZ","Petrels nei","Procellaria spp","Procellariidae"
"PDM","Great-winged petrel","Pterodroma macroptera","Procellariidae"
"PVB","Kerguelen petrel","Pterodroma brevirostris","Procellariidae"
"PWL","White-headed petrel","Pterodroma lessonii","Procellariidae"
"PWU","White-necked petrel","Pterodroma cervicalis","Procellariidae"
"PWA","Gould's Petrel","Pterodroma leucoptera","Procellariidae"
"PWO","Providence petrel","Pterodroma solandri","Procellariidae"
"PVH","Mottled petrel","Pterodroma inexpectata","Procellariidae"
"PJZ","Trindade petrel","Pterodroma arminjoniana","Procellariidae"
"HJW","Bermuda petrel","Pterodroma cahow","Procellariidae"
"HWS","Black-capped petrel","Pterodroma hasitata","Procellariidae"
"TAA","Antarctic petrel","Thalassoica antarctica","Procellariidae"
"MAI","Antarctic giant petrel","Macronectes giganteus","Procellariidae"
"MAH","Hall's giant petrel","Macronectes halli","Procellariidae"
"MBX","Giant petrels nei","Macronectes spp","Procellariidae"
"FUG","Southern fulmar","Fulmarus glacialoides","Procellariidae"
"FNO","Northern fulmar","Fulmarus glacialis","Procellariidae"
"CDI","Cory's shearwater","Calonectris diomedea","Procellariidae"
"CZE","Cape Verde shearwater","Calonectris edwardsii","Procellariidae"
"DAC","Cape petrel","Daption capense","Procellariidae"
"PWD","Antarctic prion","Pachyptila desolata","Procellariidae"
"PWV","Fairy prion","Pachyptila turtur","Procellariidae"
"PWX","Prions nei","Pachyptila spp","Procellariidae"
"PWP","Lesser snow petrel","Pagodroma nivea","Procellariidae"
"PWZ","Greater snow petrel","Pagodroma confusa","Procellariidae"
"PWW","Snow petrels nei","Pagodroma spp","Procellariidae"
"HBE","Blue petrel","Halobaena caerulea","Procellariidae"
"WTP","Tahiti petrel","Pseudobulweria rostrata","Procellariidae"
"PRX","Petrels and shearwaters nei","Procellariidae","Procellariidae"
"OCO","Wilson's storm petrel","Oceanites oceanicus","Hydrobatidae"
"FGQ","Black-bellied storm petrel","Fregetta tropica","Hydrobatidae"
"FGZ","B/W bellied storm petrels nei","Fregetta spp","Hydrobatidae"
"DAZ","European storm-petrel","Hydrobates pelagicus","Hydrobatidae"
"DBK","Leach's storm-petrel","Oceanodroma leucorhoa","Hydrobatidae"
"WFS","White-faced storm petrel","Pelagodroma marina","Hydrobatidae"
"CSK","Great skua","Catharacta skua","Laridae"
"CAM","South polar skua","Catharacta maccormicki","Laridae"
"CAQ","Brown skua","Catharacta lonnbergi","Laridae"
"CTH","Chilean skua","Catharacta chilensis","Laridae"
"SVI","Antarctic tern","Sterna vittata","Laridae"
"SVB","Great crested tern","Sterna bergii","Laridae"
"SVJ","Sooty tern","Sterna fuscata","Laridae"
"TVF","Arctic tern","Sterna paradisaea","Laridae"
"TVA","Common tern","Sterna hirundo","Laridae"
"SVZ","Terns nei","Sterna spp","Laridae"
"LDO","Kelp gull","Larus dominicanus","Laridae"
"LHW","Silver gull","Larus novaehollandiae","Laridae"
"LHZ","Herring gull","Larus argentatus","Laridae"
"LVA","Laughing gull","Larus atricilla","Laridae"
"LVH","Audouin's gull","Larus audouinii","Laridae"
"LVJ","Yellow-legged gull","Larus cachinnans","Laridae"
"LVU","Great black-backed gull","Larus marinus","Laridae"
"LCW","Mew gull","Larus canus","Laridae"
"LOW","Lesser black-backed gull","Larus fuscus","Laridae"
"LVW","Iceland gull","Larus glaucoides","Laridae"
"LVY","Glaucous gull","Larus hyperboreus","Laridae"
"LVZ","Sabine's gull","Larus sabini","Laridae"
"CVV","Common black-headed gull","Larus ridibundus","Laridae"
"LHX","Seagulls nei","Larus spp","Laridae"
"QDT","Ivory gull","Pagophila eburnea","Laridae"
"QDV","Black-legged kittiwake","Rissa tridactyla","Laridae"
"LRD","","Laridae","Laridae"
"TBW","Arctic skua","Stercorarius parasiticus","Stercorariidae"
"TFH","Skua","Stercorarius skua","Stercorariidae"
"PYD","Adelie penguin","Pygoscelis adeliae","Spheniscidae"
"PYN","Chinstrap penguin","Pygoscelis antarcticus","Spheniscidae"
"PYP","Gentoo penguin","Pygoscelis papua","Spheniscidae"
"EUC","Macaroni penguin","Eudyptes chrysolophus","Spheniscidae"
"EVQ","Rockhopper penguin","Eudyptes chrysocome","Spheniscidae"
"KPY","King penguin","Aptenodytes patagonicus","Spheniscidae"
"KFY","Emperor penguin","Aptenodytes forsteri","Spheniscidae"
"PVF","Penguins nei","Spheniscidae","Spheniscidae"
